Country,Region,ID,City
ru,alt,438,Барнаул
ru,amu,440,Благовещенск
ru,ark,432,Архангельск
ru,ast,392,Астрахань
ru,ba,425,Салават
ru,ba,404,Уфа
ru,bel,371,Белгород
ru,bry,372,Брянск
ru,bu,443,Улан-Удэ
ru,che,426,Златоуст
ru,che,429,Копейск
ru,che,417,Магнитогорск
ru,che,418,Миасс
ru,che,422,Челябинск
ru,crim,430,Симферополь
ru,cu,386,Чебоксары
ru,irk,446,Братск
ru,iva,376,Иваново
ru,kam,450,Петропавловск-Камчатский
ru,kda,394,Краснодар
ru,kda,395,Новороссийск
ru,kem,433,Кемерово
ru,kem,437,Новокузнецк
ru,kgd,455,Калининград
ru,kgn,416,Курган
ru,kha,447,Комсомольск-на-Амуре
ru,kha,444,Хабаровск
ru,khm,441,Нижневартовск
ru,khm,442,Сургут
ru,khm,448,Ханты-Мансийск
ru,kir,415,Киров
ru,kk,431,Абакан
ru,klu,378,Калуга
ru,ko,421,Сыктывкар
ru,ko,439,Ухта
ru,krs,379,Курск
ru,kya,434,Красноярск
ru,lip,380,Липецк
ru,me,377,Йошкар-Ола
ru,mo,391,Рузаевка
ru,mo,408,Саранск
ru,mos,301,Абрамцево
ru,mos,324,Авдотьино
ru,mos,359,Агафониха
ru,mos,300,Агрогородок
ru,mos,367,Аносино
ru,mos,263,Балашиха
ru,mos,325,Барыбино
ru,mos,328,Барыбино
ru,mos,302,Безменково
ru,mos,368,Веледниково
ru,mos,248,Видное
ru,mos,303,ВНИИПО
ru,mos,269,Внуково
ru,mos,326,Воеводино
ru,mos,329,Воеводино
ru,mos,281,Воскресенское
ru,mos,327,Вяльково
ru,mos,330,Вяльково
ru,mos,304,Горбово
ru,mos,360,Горки
ru,mos,331,"Горки Ленинские"
ru,mos,350,"Горки Ленинские"
ru,mos,249,Дзержинский
ru,mos,264,Долгопрудный
ru,mos,270,Домодедово
ru,mos,305,Дятловка
ru,mos,271,Железнодорожный
ru,mos,332,Жеребятьево
ru,mos,272,Жуковский
ru,mos,333,Заболотье
ru,mos,306,Заря
ru,mos,250,Зеленоград
ru,mos,282,Ивантеевка
ru,mos,334,Камкино
ru,mos,335,Киселиха
ru,mos,336,Колычево
ru,mos,283,Коммунарка
ru,mos,337,Константиново
ru,mos,273,Королев
ru,mos,284,Косино-Ухтомский
ru,mos,285,Котельники
ru,mos,338,Котляково
ru,mos,339,Красино
ru,mos,251,Красногорск
ru,mos,286,Краснознаменск
ru,mos,340,Куприяниха
ru,mos,252,Куркино
ru,mos,341,Ленинская
ru,mos,274,Лобня
ru,mos,287,Лосино-Петровский
ru,mos,342,Лукино
ru,mos,275,Лыткарино
